name,type1,type2,hp,attack,defense,special-attack,special-defense,speed
bulbasaur,grass,poison,45,49,49,65,65,45
ivysaur,grass,poison,60,62,63,80,80,60
venusaur,grass,poison,80,82,83,100,100,80
charmander,fire,,39,52,43,60,50,65
charmeleon,fire,,58,64,58,80,65,80
charizard,fire,flying,78,84,78,109,85,100
squirtle,water,,44,48,65,50,64,43
wartortle,water,,59,63,80,65,80,58
blastoise,water,,79,83,100,85,105,78
caterpie,bug,,45,30,35,20,20,45
metapod,bug,,50,20,55,25,25,30
butterfree,bug,flying,60,45,50,90,80,70
weedle,bug,poison,40,35,30,20,20,50
kakuna,bug,poison,45,25,50,25,25,35
beedrill,bug,poison,65,90,40,45,80,75
pidgey,normal,flying,40,45,40,35,35,56
pidgeotto,normal,flying,63,60,55,50,50,71
pidgeot,normal,flying,83,80,75,70,70,101
rattata,normal,,30,56,35,25,35,72
raticate,normal,,55,81,60,50,70,97
spearow,normal,flying,40,60,30,31,31,70
fearow,normal,flying,65,90,65,61,61,100
ekans,poison,,35,60,44,40,54,55
arbok,poison,,60,95,69,65,79,80
pikachu,electric,,35,55,40,50,50,90
raichu,electric,,60,90,55,90,80,110
sandshrew,ground,,50,75,85,20,30,40
sandslash,ground,,75,100,110,45,55,65
nidoran-f,poison,,55,47,52,40,40,41
nidorina,poison,,70,62,67,55,55,56
nidoqueen,poison,ground,90,92,87,75,85,76
nidoran-m,poison,,46,57,40,40,40,50
nidorino,poison,,61,72,57,55,55,65
nidoking,poison,ground,81,102,77,85,75,85
clefairy,fairy,,70,45,48,60,65,35
clefable,fairy,,95,70,73,95,90,60
vulpix,fire,,38,41,40,50,65,65
ninetales,fire,,73,76,75,81,100,100
jigglypuff,normal,fairy,115,45,20,45,25,20
wigglytuff,normal,fairy,140,70,45,85,50,45
zubat,poison,flying,40,45,35,30,40,55
golbat,poison,flying,75,80,70,65,75,90
oddish,grass,poison,45,50,55,75,65,30
gloom,grass,poison,60,65,70,85,75,40
vileplume,grass,poison,75,80,85,110,90,50
paras,bug,grass,35,70,55,45,55,25
parasect,bug,grass,60,95,80,60,80,30
venonat,bug,poison,60,55,50,40,55,45
venomoth,bug,poison,70,65,60,90,75,90
diglett,ground,,10,55,25,35,45,95
dugtrio,ground,,35,100,50,50,70,120
meowth,normal,,40,45,35,40,40,90
persian,normal,,65,70,60,65,65,115
psyduck,water,,50,52,48,65,50,55
golduck,water,,80,82,78,95,80,85
mankey,fighting,,40,80,35,35,45,70
primeape,fighting,,65,105,60,60,70,95
growlithe,fire,,55,70,45,70,50,60
arcanine,fire,,90,110,80,100,80,95
poliwag,water,,40,50,40,40,40,90
poliwhirl,water,,65,65,65,50,50,90
poliwrath,water,fighting,90,95,95,70,90,70
abra,psychic,,25,20,15,105,55,90
kadabra,psychic,,40,35,30,120,70,105
alakazam,psychic,,55,50,45,135,95,120
machop,fighting,,70,80,50,35,35,35
machoke,fighting,,80,100,70,50,60,45
machamp,fighting,,90,130,80,65,85,55
bellsprout,grass,poison,50,75,35,70,30,40
weepinbell,grass,poison,65,90,50,85,45,55
victreebel,grass,poison,80,105,65,100,70,70
tentacool,water,poison,40,40,35,50,100,70
tentacruel,water,poison,80,70,65,80,120,100
geodude,rock,ground,40,80,100,30,30,20
graveler,rock,ground,55,95,115,45,45,35
golem,rock,ground,80,120,130,55,65,45
ponyta,fire,,50,85,55,65,65,90
rapidash,fire,,65,100,70,80,80,105
slowpoke,water,psychic,90,65,65,40,40,15
slowbro,water,psychic,95,75,110,100,80,30
magnemite,electric,steel,25,35,70,95,55,45
magneton,electric,steel,50,60,95,120,70,70
farfetchd,normal,flying,52,90,55,58,62,60
doduo,normal,flying,35,85,45,35,35,75
dodrio,normal,flying,60,110,70,60,60,110
seel,water,,65,45,55,45,70,45
dewgong,water,ice,90,70,80,70,95,70
grimer,poison,,80,80,50,40,50,25
muk,poison,,105,105,75,65,100,50
shellder,water,,30,65,100,45,25,40
cloyster,water,ice,50,95,180,85,45,70
gastly,ghost,poison,30,35,30,100,35,80
haunter,ghost,poison,45,50,45,115,55,95
gengar,ghost,poison,60,65,60,130,75,110
onix,rock,ground,35,45,160,30,45,70
drowzee,psychic,,60,48,45,43,90,42
hypno,psychic,,85,73,70,73,115,67
krabby,water,,30,105,90,25,25,50
kingler,water,,55,130,115,50,50,75
voltorb,electric,,40,30,50,55,55,100
electrode,electric,,60,50,70,80,80,150
exeggcute,grass,psychic,60,40,80,60,45,40
exeggutor,grass,psychic,95,95,85,125,75,55
cubone,ground,,50,50,95,40,50,35
marowak,ground,,60,80,110,50,80,45
hitmonlee,fighting,,50,120,53,35,110,87
